"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Adopting Autonomic Computing Capabilities in Existing Large-Scale Systems","H. Li; T. Chen; A. E. Hassan; M. Nasser; P. Flora","Queen's Univ., Kingston, ON, Canada; Concordia Univ., Montreal, QC, Canada; Queen's Univ., Kingston, ON, Canada; BlackBerry, Waterloo, ON, Canada; BlackBerry, Waterloo, ON, Canada","2018 IEEE/ACM 40th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP)","30 Aug 2018","2018","","","1","10","In current DevOps practice, developers are responsible for the operation and maintenance of software systems. However, the human costs for the operation and maintenance grow fast along with the increasing functionality and complexity of software systems. Autonomic computing aims to reduce or eliminate such human intervention. However, there are many existing large systems that did not consider autonomic computing capabilities in their design. Adding autonomic computing capabilities to these existing systems is particularly challenging, because of 1) the significant amount of efforts that are required for investigating and refactoring the existing code base, 2) the risk of adding additional complexity, and 3) the difficulties for allocating resources while developers are busy adding core features to the system. In this paper, we share our industrial experience of re-engineering autonomic computing capabilities to an existing large-scale software system. Our autonomic computing capabilities effectively reduce human intervention on performance configuration tuning and significantly improve system performance. In particular, we discuss the challenges that we encountered and the lessons that we learned during this re-engineering process. For example, in order to minimize the change impact to the original system, we use a variety of approaches (e.g., aspect-oriented programming) to separate the concerns of autonomic computing from the original behaviour of the system. We also share how we tested such autonomic computing capabilities under different conditions, which has never been discussed in prior work. As there are numerous large-scale software systems that still require expensive human intervention, we believe our experience provides valuable insights to software practitioners who wish to add autonomic computing capabilities to these existing large-scale software systems.","","978-1-4503-5659-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449229","Autonomic computing;software re-engineering;performance engineering;software testing","Software systems;Large-scale systems;Maintenance engineering;Testing;Runtime","large-scale systems;object-oriented programming;software architecture;software development management;software fault tolerance;software maintenance;software quality","re-engineering autonomic computing capabilities;large-scale software systems;DevOps practice;resource allocation;performance configuration tuning","","","","","","30 Aug 2018","","","IEEE","IEEE Conferences"
"Cloud Ecosystems Support for Internet of Things and DevOps Using Patterns","M. H. Syed; E. B. Fernandez","Dept. of Comp. & Electr. Eng & Comput. Sci., Florida Atlantic Univ., Boca Raton, FL, USA; Dept. of Comp. & Electr. Eng & Comput. Sci., Florida Atlantic Univ., Boca Raton, FL, USA","2016 IEEE First International Conference on Internet-of-Things Design and Implementation (IoTDI)","19 May 2016","2016","","","301","304","An ecosystem is the expansion of a software product line architecture to include systems outside the product which interact with the product. A cloud ecosystem includes interdependent and communicating components. Not only the cloud ecosystem itself keeps evolving, but it also affects the way in which we develop and deploy software. We model the architecture of a cloud ecosystem as a set of patterns, showing partial descriptions for some of them. We then discuss the role of this evolving platform in facilitating the Internet of Things and the new DevOps framework for developing software.","","978-1-4673-9948-7","10.1109/IoTDI.2015.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7471379","Software ecosystems;Internet of Things;cloud computing;fog computing;software containers;DevOps;reference architectures","Cloud computing;Ecosystems;Containers;Unified modeling language;Security;Computer architecture","cloud computing;Internet of Things;object-oriented methods;object-oriented programming;software architecture;software product lines;software prototyping","cloud ecosystem support;Internet of Things;IoT;DevOps framework;software pattern;software product line architecture;agile software development","","9","","32","","19 May 2016","","","IEEE","IEEE Conferences"
"Agile Big Data Analytics Development: An Architecture-Centric Approach","H. Chen; R. Kazman; S. Haziyev","Shidler Coll. of Bus., Univ. of Hawaii at Manoa, Honolulu, HI, USA; Shidler Coll. of Bus., Univ. of Hawaii at Manoa, Honolulu, HI, USA; SoftServe Inc., Austin, TX, USA","2016 49th Hawaii International Conference on System Sciences (HICSS)","10 Mar 2016","2016","","","5378","5387","Agile development for big data analytics has become the new normal. However, research questions remain: 1) how should a big data system be designed and developed to effectively support advanced analytics? and 2) how should the agile process be adapted for big data analytics development? This article contributes an Architecture-centric Agile Big data Analytics (AABA) development methodology evolved and validated in 10 case studies through Collaborative Practice Research. Our studies showed that architecture agility is the key for successful agile big data analytics development. Employing an architecture-centric approach, the AABA methodology integrates the Big Data system Design (BDD) method and Architecture-centric Agile Analytics with architecture-supported DevOps (AAA) model for effective value discovery and rapid continuous delivery of value. The uses of a design concepts catalog and architectural spikes are advancements to architecture design methods that have proven to be critical to agile big data analytics development.","1530-1605","978-0-7695-5670-3","10.1109/HICSS.2016.665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427853","big data and analytics;software architecture;big data design method;agile devleopment methodology","Big data;Computer architecture;Data models;Collaboration;System analysis and design;Companies","Big Data;data analysis;software architecture;software prototyping","agile Big Data analytics development;architecture-centric approach;AABA development methodology;collaborative practice research;architecture agility;Big Data system design;BDD method;architecture-centric agile analytics;architecture-supported DevOps model;AAA model;value discovery;architecture design methods","","13","","27","","10 Mar 2016","","","IEEE","IEEE Conferences"
"Integrating Security with DevSecOps: Techniques and Challenges","Z. Ahmed; S. C. Francis","School of Engineering & IT, Manipal Academy of Higher Education,Dubai,U.A.E; School of Engineering & IT, Manipal Academy of Higher Education,Dubai,U.A.E","2019 International Conference on Digitization (ICD)","2 Jun 2020","2019","","","178","182","The delivery of software applications is key to the success of many development organizations. The software development process over the period increased its scope and included other areas like operations with core Information Technology. Software project practices with DevOps have demonstrated how to streamline these processes, improve the quality of products with present technologies and speed up the processes. In the project cell, a university students' organization which undertake software development projects and services implemented the DevOps methodology for student projects. This model showed results with effective completion of projects. However, what was missing was robust and secure applications, increasing concern and risk involved with insecure products that brought our attention to the implementation and integration of security model into our present development process. The goal of this article is to describe the integration of DevSecOps practice to our ongoing projects that will avoid insecure practices during development.","","978-1-7281-3841-1","10.1109/ICD47981.2019.9105789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9105789","DevOps;DevOpsSec;Software Development","","information technology;project management;security of data;software development management","robust applications;student projects;DevOps methodology;software development projects;university students;information technology;DevSecOps;security model;insecure products;secure applications","","3","","9","","2 Jun 2020","","","IEEE","IEEE Conferences"
"Online Learning Platform for Application-Inspired Cloud and DevOps Curriculum","S. Wang; R. Neupane; A. Pandey; X. Cheng; P. Calyam","University of Missouri,Department of Electrical Engineering and Computer Science,MO,USA,65211; University of Missouri,Department of Electrical Engineering and Computer Science,MO,USA,65211; University of Missouri,Department of Electrical Engineering and Computer Science,MO,USA,65211; University of Missouri,Department of Electrical Engineering and Computer Science,MO,USA,65211; University of Missouri,Department of Electrical Engineering and Computer Science,MO,USA,65211","2021 IEEE 28th International Conference on High Performance Computing, Data and Analytics Workshop (HiPCW)","21 Jan 2022","2021","","","35","42","Cloud-hosted services are being increasingly used in hosting business applications due to cost effectiveness, scalability, and ease of deployment. To facilitate rapid development, change and release process of cloud-hosted applications, the area of Development and Operations (DevOps) is fast evolving. It is necessary to train the future generation of application development professionals such that they are knowledgeable in the continuous integration and continuous delivery automation. In this paper, we present the design and development of our “Mizzou Cloud DevOps platform”, an online platform to learn cutting-edge Cloud and DevOps tools/technologies using open/public cloud infrastructures for wide adoption amongst instructors/students. Our learning platform features scalability, flexibility, and extend ability in providing Cloud and DevOps concepts knowledge and hands-on skills. We detail our “application-inspired learning” methodology that is based on integration of real-world application use cases in four learning modules that include laboratory exercises and self-study activities using realistic cloud/HPC-based application testbeds. We describe the learning modules that allow students to gain skills in using latest technologies (e.g., containerization, cluster and edge computing, data pipeline automation) to implement relevant security, monitoring, and adaptation mechanisms. Lastly, we evaluate our platform via a knowledge growth study survey with instructors and students.","","978-1-6654-1037-3","10.1109/HiPCW54834.2021.00012","VMware; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680807","application-inspired learning;microservices;containerized workloads;monitoring/management of infrastructure;clusters and apps across multiple clouds","Automation;Costs;Scalability;Conferences;High performance computing;Pipelines;Containers","cloud computing;computer aided instruction;parallel processing","fast evolving;future generation;application development professionals;continuous integration;continuous delivery automation;Mizzou Cloud DevOps platform;online platform;cutting-edge Cloud;learning platform features scalability;learning modules;knowledge growth study survey;online learning platform;application-inspired Cloud;DevOps curriculum;Cloud-hosted services;hosting business applications;release process;cloud-hosted applications","","","","34","IEEE","21 Jan 2022","","","IEEE","IEEE Conferences"
"Reproducing Scientific Experiment with Cloud DevOps","F. Zhao; X. Niu; S. -L. Huang; L. Zhang","Tsinghua University,Beijing,China; University of Washington,Tacoma,USA; Tsinghua University,Shenzhen,China; Tsinghua University,Shenzhen,China","2020 IEEE World Congress on Services (SERVICES)","21 Dec 2020","2020","","","259","264","The reproducibility of scientific experiment is vital for the advancement of disciplines based on previous work. To achieve this goal, many researchers focus on complex methodology and self-invented tools which have difficulty in practical usage. In this article, we introduce the Cloud DevOps infrastructure from software engineering community and shows how it can be used effectively for heterogeneous agents to reproduce experiments for computer science related disciplines. DevOps can be enabled using freely available cloud computing machines for medium-sized experiment and self-hosted computing engines for large-scale computing, thus powering researchers to share their experiment result with others in a more reliable way.","2642-939X","978-1-7281-8203-2","10.1109/SERVICES48979.2020.00058","Natural Science Foundation of China(grant numbers:61807021); Shenzhen Science and Technology Program(grant numbers:KQTD20170810150821146); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284159","cloud infrastructure;DevOps;scientific workflow management","Computer science;Cloud computing;Tools;Reliability;Engines;Software engineering","cloud computing;software engineering;workflow management software","software engineering community;heterogeneous agents;computer science related disciplines;medium-sized experiment;self-hosted computing engines;scientific experiment;reproducibility;cloud DevOps infrastructure;cloud computing machines","","","","20","","21 Dec 2020","","","IEEE","IEEE Conferences"
"Modern DevOps: Optimizing software development through effective system interactions","C. A. Cois; J. Yankel; A. Connell","Carnegie Mellon University, Software Engineering Institute; Carnegie Mellon University, Software Engineering Institute; Carnegie Mellon University, Software Engineering Institute","2014 IEEE International Professional Communication Conference (IPCC)","26 Jan 2015","2014","","","1","7","Software development processes are fundamentally based on efficient and effective communication. Communication between engineers, between engineers and managers, and between teams and clients are all essential components of a successful project. Requirements must be effectively transferred from client to engineer, specifications must be transitioned from architect to engineer, and constant communication between project team members, managers, and clients throughout the project life cycle is critical to the success of projects of any complexity. To succeed in a world where technologies, requirements, ideas, tools, and timelines are constantly changing, information must be accurate, readily available, easily found, and ideally delivered constantly, in real-time, to all team members. To meet these challenges, modern software development has evolved to encompass key concepts of adaptability to change and data-driven project management. A recent movement dubbed DevOps has attempted to use automated systems to bridge the information gap between project team entities and to enforce rigorous processes to ensure real-time communications. In this paper, the authors frame this challenge as a communications problem that can be addressed by the introduction of specifically designed autonomous system actors and processes. Successful implementation of such a methodology will enable efficient, effective, and immediate data collection, synthesis, and transfer of information between all requisite entities within the software project. A generalized model of DevOps will be presented and analyzed, offering a formalization of the communications and actors requisite to any effective software development process. These concepts will be further developed to illustrate the information flow between human and system actors, and explore how this model can be used to optimize the processes of a software development team to maximize productivity and quality of work products.","2158-1002","978-1-4799-3749-3","10.1109/IPCC.2014.7020388","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7020388","Software engineering;Software development;DevOps;Project management;Process improvement","Software;Productivity;Software engineering;Project management;Real-time systems;Testing;Context","productivity;project management;software development management;team working","software development optimization;system interactions;software development processes;project life cycle;project success;data-driven project management;automated systems;information gap;project team entities;real-time communications;communications problem;data collection;data synthesis;information transfer;software project;DevOps generalized model;human actors;system actors;software development team;productivity;work products quality","","21","1","21","","26 Jan 2015","","","IEEE","IEEE Conferences"
"Performance Evaluation of COINS Framework for Wireless Network Automation","I. Boškov; H. Yetgin; C. Fortuna; M. Mohorčič","Jožef Stefan International Postgraduate School,Ljubljana,Slovenia,SI-1000; Bitlis Eren University,Department of Electrical and Electronics Engineering,Bitlis,Turkey,13000; Jožef Stefan Institute,Department of Communication Systems,Ljubljana,Slovenia,SI-1000; Jožef Stefan Institute,Department of Communication Systems,Ljubljana,Slovenia,SI-1000","2021 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit)","28 Jul 2021","2021","","","466","471","With the evolution of mobile communications towards fifth-generation (5G) and beyond, all layers of the wireless networks are increasingly virtualized and software-controlled using automated tools. DevOps tools enabling smooth and fast testing through continuous integration (CI) and rapid deployment through continuous delivery (CD) of the software in cloud environments are permeating also communication infrastructures, eventually leading to the so-called “zero-touch network automation”. Such automation frameworks have been actively used in wireless testing infrastructures, such as FIRE and GENI. For instance, the continuous integration in wireless (COINS) technology development framework has been used in the LOG-a-TEC testbed facility of the FIRE federation. In this paper, we propose a task-based operational structure of COINS for a thorough evaluation of the time for operation (TFO) performance of each task. Moreover, we analyse the impact of different experiments and the number of nodes participating in the experiment on the TFO performance of the COINS framework. The results; i) demonstrate that the device tasks within COINS framework are the bottleneck occupying up to 92.6% of the total TFO, and ii) reveal that the TFO performances of the receive details task on the device side and the gather results task on the server side are significantly diminished with the increased number of nodes participating in the same type of experiment.","2575-4912","978-1-6654-1526-2","10.1109/EuCNC/6GSummit51104.2021.9482454","Slovenian Research Agency(grant numbers:P2-0016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9482454","Continuous integration;continuous delivery;wireless networks;DevOps;experimentation;network automation;evaluation;operation time;automated operation;Internet of things","Performance evaluation;Automation;Wireless networks;Scalability;Tools;Software;Servers","5G mobile communication;cloud computing;telecommunication computing;virtualisation;wireless channels","performance evaluation;COINS framework;wireless network automation;fifth-generation mobile communications;wireless networks;software-controlled;automated tools;DevOps tools;smooth testing;fast testing;continuous integration;continuous delivery;communication infrastructures;zero-touch network automation;automation frameworks;wireless testing infrastructures;technology development framework;LOG-a-TEC testbed facility;FIRE federation;TFO performance;cloud environments;task-based operational structure;time for operation performance;server side","","1","","10","","28 Jul 2021","","","IEEE","IEEE Conferences"
"Virtual Environment for Evaluating the QoS of Distributed Mobile Applications","S. Laso; J. Berrocal; P. Fernández; A. Ruiz-Cortés; J. M. Murillo","University of Extremadura,Cáceres,Spain; University of Extremadura,Cáceres,Spain; I3US Institute, SCORE Lab., Universidad de Sevilla,Sevilla,Spain; I3US Institute, SCORE Lab., Universidad de Sevilla,Sevilla,Spain; University of Extremadura,Cáceres,Spain","2021 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops)","24 May 2021","2021","","","407","409","The increasing capabilities of end devices has led to a wider distribution of the computation and the massive deployment of distributed mobile applications. The success of these applications is highly dependent on the Quality of Service they provide. This quality is especially difficult to assess due to the large number of entities involved and their heterogeneity. Current tools are usually focused on evaluating the QoS provided by a single entity. Nevertheless, the QoS of distributed applications not only depend on the QoS of each entity, the interactions among entities has also to be evaluated. Therefore, new techniques are required to perform a comprehensive evaluation of the expected QoS of these applications before their production deployment. This paper presents a framework, called Perses, for launching virtual environments to simulate and test the execution of distributed mobile applications. This simulation provides results of the QoS achieved. Moreover, the framework has been integrated into a DevOps methodology in order to automate its execution. Video showcase- https://youtu.be/wpIApe_sPFE.","","978-1-6654-0424-2","10.1109/PerComWorkshops51409.2021.9431133","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9431133","Distributed Mobile Applications;Quality of Service;DevOps;Virtual Environment","Pervasive computing;Cloud computing;Conferences;Virtual environments;Quality of service;Production;Tools","mobile computing;quality of service;software engineering","distributed mobile applications;expected QoS;virtual environment;DevOps methodology","","","","16","","24 May 2021","","","IEEE","IEEE Conferences"
"Deriving Microservice Code from Underspecified Domain Models Using DevOps-Enabled Modeling Languages and Model Transformations","F. Rademacher; S. Sachweh; A. Zündorf","University of Applied Sciences and Arts Dortmund,IDiAL Institute,Dortmund,Germany,44227; University of Applied Sciences and Arts Dortmund,IDiAL Institute,Dortmund,Germany,44227; University of Kassel,Department of Computer Science and Electrical Engineering,Kassel,Germany,34121","2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","16 Oct 2020","2020","","","229","236","Domain-driven Design (DDD) is a model-based software design methodology, which focuses on close collaboration of domain experts and software engineers. It promotes to capture relevant domain concepts in domain models in order to define a ubiquitous language, whose terms are well understood by stakeholders and consistently used throughout the software engineering process. DDD is considered particularly useful in Microservice Architecture (MSA) engineering, because it specifies patterns to structure modeled domain concepts in isolated contexts. These contexts determine concepts' applicability and validity, and make relationships between domain concepts beyond context boundaries explicit. Consequently, DDD contexts may be used to prescribe microservices' granularities and interaction relationships. However, domain models are usually underspecified, which facilitates communication with domain experts, but hampers the derivation of microservice code.In this paper, we present a model-driven methodology towards deriving microservice code from underspecified domain models. It relies on a set of viewpoint-based MSA modeling languages, which respect the concerns of DevOps teams, and a set of automatic model transformations, which decrease modeling effort and systematize source code derivation. We validate the applicability of our methodology by means of two case studies.","","978-1-7281-9532-2","10.1109/SEAA51224.2020.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9226287","Services Architectures;Services Engineering;Modeling of computer architecture","Unified modeling language;Context modeling;Data models;Biological system modeling;Computational modeling;Stakeholders;Software","formal specification;object-oriented programming;ontologies (artificial intelligence);software architecture;software prototyping","microservice code;DevOps-enabled modeling languages;model-based software design methodology;software engineering process;DDD contexts;model-driven methodology;automatic model transformations;source code derivation;microservice architecture engineering;MSA engineering","","2","","20","","16 Oct 2020","","","IEEE","IEEE Conferences"
"A Model-Driven Engineering Framework to Support the Functional Safety Process","B. Meyers; K. Gadeyne; B. Oakes; M. Bernaerts; H. Vangheluwe; J. Denil",Flanders Make; Flanders Make; University of Antwerp; University of Antwerp; University of Antwerp; University of Antwerp,"2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","21 Nov 2019","2019","","","619","623","The design of safety-related systems traditionally has long and costly development cycles due to the highly manual safety engineering process, which is guided by industry standards. In this paper, we present a modelling framework that supports DevOps principles of continuous testing and fast development iterations for the design of safety-critical systems. We show how modelling can help introducing DevOps in the context of functional safety analysis, and we also report how DevOps was used during the development of the framework.","","978-1-7281-5125-0","10.1109/MODELS-C.2019.00094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8904799","devops;safety critical;verification;automotive;iso26262","","formal specification;program testing;safety-critical software","fast development iterations;safety-critical systems;functional safety analysis;model-driven engineering framework;functional safety process;safety-related systems;long development cycles;safety engineering process;industry standards;DevOps principles;continuous testing","","2","","21","","21 Nov 2019","","","IEEE","IEEE Conferences"
"Test orchestration a framework for Continuous Integration and Continuous deployment","N. Rathod; A. Surve","Department of Computer Science and Engineering, Walchand College of Engineering, Sangli, India; Department of Computer Science and Engineering, Walchand College of Engineering, Sangli, India","2015 International Conference on Pervasive Computing (ICPC)","16 Apr 2015","2015","","","1","5","The enterprises follow Agile Software Development methodology to because business requirements changes frequently. In Agile Software Development methodology, it is essential to continuously integrate the component into a main trunk of a project to test the new component of the system. Then test all the component of the project; this happens frequently so it needs to stream line processes to orchestrate the tests. So it is difficult to manage the software development life cycle for those changes and maintain the software code quality. To maintain the product quality it is essential to integrate the product component and need to deploy a product on pre-production environment and test the product. Hence the need for Continuous Integration and Continuous Delivery process for software product. The popularization of DevOps, and cloud computing has revolutionized the software delivery process- making it faster and affordable for business to release their software continuously. Hence Enterprises need for reliable and predictable delivery process of software. The objective of the paper is to design an effective framework for automated testing and deployment to help to automate the code analysis, test selection, test scheduling, environment provisioning, test execution, results analysis and deployment pipeline. Test orchestration framework typically very complicated to develop such pipeline to make software reliable, and bug free. For environment provisioning can be provided through virtualization and cloud computing.","","978-1-4799-6272-3","10.1109/PERVASIVE.2015.7087120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7087120","ContinuousIntegration (CI);Continious Deployment (CD);DevOps;Agile Software Development;Test Oracle;Test Orchestration;Cloud Computing;Delivery Pipeline","Software;Automation;Pipelines;Software reliability;Software testing","program testing;scheduling;software prototyping;software quality","test orchestration;continuous integration process;continuous deployment process;agile software development methodology;component test;software development life cycle;software code quality;product quality;software product;DevOps;cloud computing;code analysis;test selection;test scheduling;environment provisioning;test execution;results analysis;deployment pipeline;virtualization","","13","2","13","","16 Apr 2015","","","IEEE","IEEE Conferences"
"Challenges of DevOps Implementation : A Case Study from Technology Companies in Indonesia","R. Anandya; T. Raharjo; A. Suhanto","University of Indonesia,Faculty of Computer Science,Jakarta,Indonesia; University of Indonesia,Faculty of Computer Science,Jakarta,Indonesia; University of Indonesia,Faculty of Computer Science,Jakarta,Indonesia","2021 International Conference on Informatics, Multimedia, Cyber and Information System (ICIMCIS","9 Feb 2022","2021","","","108","113","Although agile is an iterative approach that encourages collaboration and feedback from all its stakeholders, most agile projects do not extend toward operation people and create a gap between them. To solve that, the paradigm of DevOps is introduced. DevOps is considered the most effective way to improve collaboration between development and IT operations in achieving quality, stability, reliability, and team satisfaction. Due to these thrive factors, DevOps are still popular in IT project development nowadays. However, the present survey shows that organizations still face barriers and struggle in their adoption of DevOps. This study aims to identify the challenges which involved hindering DevOps adoption by conducting a literature review. The identified challenges were further validated and prioritized by IT practitioners from technology companies in Indonesia using AHP (Analytic Hierarchy Process) method. The result is ‘highly bureaucratic deployment process’, ‘insufficient communication and collaboration issues’, and ‘lack of clear definition and strategic direction’ are the most significant challenges that need to be addressed to successful DevOps implementation with value 16.1%, 14,4%, and 13.7 % respectively.","","978-1-6654-2733-3","10.1109/ICIMCIS53775.2021.9699240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9699240","DevOps;Challenges;AHP;Continuous Development","Multimedia systems;Bibliographies;Collaboration;Companies;Stability analysis;Stakeholders;Reliability","","","","","","28","","9 Feb 2022","","","IEEE","IEEE Conferences"
"Strengthening harmonization of Development (Dev) and Operations (Ops) silos in IT environment through systems approach","S. W. Hussaini","Business Systems and Cybernetics Center, Tata Consultancy Services, Hyderabad, India","17th International IEEE Conference on Intelligent Transportation Systems (ITSC)","20 Nov 2014","2014","","","178","183","This paper presents a model based on cybernetics and systems thinking principles to overcome the challenges of strengthening the harmonization of Development and Operations functions in an enterprise. This was as a result of the challenges faced in applying industry standard tools/frameworks to complex problem. DevOps is an acronym for Development (Dev) and Operations (Ops) of information technology (IT) systems and applications. DevOps paradigm emerged as a response to the growing knowledge that there exists a gap of 4Cs (communications, co-operation, culture and collaboration) between what is usually considered IT development function and what is generally considered IT operations function of an organization. This gap often widens and manifests itself in many forms such as adverse competition, team conflict, inordinate delays and inefficiency of business applications/IT systems. There is a “Wall of Confusion” between IT development and operations as stated by Andrew Shafer and Lee Thompson. This “Wall” is caused by a combination of conflicting motivations among people, processes, and technology/tooling. Hence there is a pressing need for strengthening the harmonization of Development and Operations functions of an IT organization. IT Development (including testing and assurance services) professionals often tend to come with an outlook where change is the thing that they are mandated to accomplish. The business folks depend on them to respond to fast changing business and/or technology needs. Because of this intimate relationship, Dev are often expected to bring in as much change as possible. IT Operations folks tend to come with an outlook where change is the enemy. The business folks depend on them to keep the lights on and deliver the services that make the business money today. Operations folks tend to resist change as it undermines stability and reliability of IT systems/applications. Many times we heard that lion's share of all downtime is due to those self-inflicted injuries known as changes? To make matters worse and things more political and complex, development and operations teams generally position into different parts of a company's organizational structure (often with different General Managers and competing corporate politics) and often work at different geographic locations. According to a Gartner report[1], ""Through 2010, Gartner expects that most IT organizations will continue to focus on the basic IT processes of application development, project management and service management. They will fail toextend this process focus to all activities, and will fail to change organizational values and behaviors."". There was a pressing need to dive deep in to this complex problem with a systems thinking approach. “The model leveraged here is called SNACTM. This stands for Stakeholders, Needs, Alterables and Constraints. This model is used to increase variety in the system in focus. Stakeholders are identified in categories like internal and external to the program. This involves identifying all stakeholders in the program, their needs, interests and influences. The Stakeholders, their needs, constraints and the alterables that are introduced to overcome the constraints are identified and considered. Alterables are the things that the organization believes it can alter or change.”[13][15] This model enables to identify key objectives that are common to both Dev and Ops. This also involves identifying key themes of DevOps which form the levers of transformation that is being delivered. The stakeholders, their interests and influences help focus on the key themes of DevOps strategy. This helps the program managers/directors to focus on key themes that need to be in focus to respective stakeholders at right time when they are needed the most during delivery lifecycle. The paper covers an overview, the theoretical basis on which this model has been built. It also covers the model itself in detail. The paper also illustrates a case, which used this concept, conclusion and future direction for the framework. The model was deployed successfully to assess the feasibility and craft DevOps strategy of a large IT program of customer contact transformation for a large telecom company in EMEA (Europe, Middle East and Africa) region providing telecom services and products to tens of millions of customers. The results of application of the aforementioned systems science model to address the problem are also illustrated.. The outlined model here, helped in the identification of levers to protect DevOps stakeholders interest and enhance effectiveness and efficiency.","2153-0017","978-1-4799-6078-1","10.1109/ITSC.2014.6957687","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6957687","DevOps;SNAC™;Transorformation levers;Harmonization","Organizations;Object recognition;Cybernetics;Knowledge management;Pressing;Terminology","DP management","IT environment;information technology;systems approach;cybernetics principle;systems thinking principle;DevOps paradigm;IT development function;IT operation function;IT organization;4C knowledge;communications-cooperation-culture-collaboration knowledge;IT development;SNACTM model;stakeholders-needs-alterables-constraints model;IT program;customer contact transformation","","11","","12","","20 Nov 2014","","","IEEE","IEEE Conferences"
"Delivering Elastic Containerized Cloud Applications to Enable DevOps","C. Barna; H. Khazaei; M. Fokaefs; M. Litoiu","Dept. of Electr. Eng. & Comput. Sci., York Univ., Toronton, ON, Canada; Dept. of Electr. Eng. & Comput. Sci., York Univ., Toronton, ON, Canada; Dept. of Electr. Eng. & Comput. Sci., York Univ., Toronton, ON, Canada; Dept. of Electr. Eng. & Comput. Sci., York Univ., Toronton, ON, Canada","2017 IEEE/ACM 12th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS)","7 Jul 2017","2017","","","65","75","Following recent technological advancements in software systems, like microservices, containers and cloud systems, DevOps has risen as a new development paradigm. Its aim is to bridge the gap between development and management of software systems and enable continuous development, deployment and integration. Towards this end, automated tools and management systems play a crucial role. In this work, we propose a method to develop an autonomic management system for multi-tier, multi-layer data-intensive containerized applications based on a performance model of such systems. The model is shown to be robust and accurate in estimating and predicting the system's performance for various workloads and topologies, while the AMS is capable of regulating the application's behaviour by taking independent actions on its various parts.","","978-1-5386-1550-8","10.1109/SEAMS.2017.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7968133","devops;cloud computing;autonomic management systems;performance models;continuous delivery;containers;scaling;multi-tier big data applications","Containers;Cloud computing;Tools;Computer architecture;Adaptation models;Service-oriented architecture","cloud computing;integrated software;software management;software performance evaluation","elastic containerized cloud applications;DevOps;software system development;software system management;continuous development;software system deployment;software system integration;autonomic management system;multitier multilayer data-intensive containerized applications;performance model;AMS","","22","1","34","","7 Jul 2017","","","IEEE","IEEE Conferences"
